"","pref1or2","cand1eval","cand2eval","cand1age","cand1gender","cand1race","cand1educ","cand1employ","cand1house","cand2age","cand2gender","cand2race","cand2educ","cand2employ","cand2house","order12","pref3or4","cand3eval","cand4eval","cand3age","cand3gender","cand3race","cand3educ","cand3employ","cand3house","cand4age","cand4gender","cand4race","cand4educ","cand4employ","cand4house","order34","pref5or6","cand5eval","cand6eval","cand5age","cand5gender","cand5race","cand5educ","cand5employ","cand5house","cand6age","cand6gender","cand6race","cand6educ","cand6employ","cand6house","order56","pref7or8","cand7eval","cand8eval","cand7age","cand7gender","cand7race","cand7educ","cand7employ","cand7house","cand8age","cand8gender","cand8race","cand8educ","cand8employ","cand8house","order78","pref9or10","cand9eval","cand10eval","cand9age","cand9gender","cand9race","cand9educ","cand9employ","cand9house","cand10age","cand10gender","cand10race","cand10educ","cand10employ","cand10house","order910","dem_age","dem_gender","dem_party"
"34","1",6,3,0,1,"Hispanic/Latino/Spanish Origin",1,0,"Not married - has children",3,1,"Black/African American",3,2,"Not married - has children","Household Information,Employment Status,Education Level,Gender,Age,Race","4",5,2,0,1,"Hispanic/Latino/Spanish Origin",1,2,"Married - has children",2,1,"Black/African American",3,0,"Married - has children","Race,Education Level,Gender,Employment Status,Household Information,Age","6",4,4,3,0,"Hispanic/Latino/Spanish Origin",3,2,"Married - no children",0,0,"Black/African American",0,2,"Married - has children","Education Level,Household Information,Gender,Age,Race,Employment Status","7",5,3,0,0,"Black/African American",0,1,"Lives alone",1,0,"Hispanic/Latino/Spanish Origin",2,1,"Married - no children","Gender,Age,Employment Status,Household Information,Race,Education Level","1",5,3,2,0,"Hispanic/Latino/Spanish Origin",1,1,"Lives alone",1,1,"White",3,1,"Married - has children","Employment Status,Gender,Education Level,Household Information,Race,Age","58",1,"Democrat"
"35","2",3,6,1,0,"White",1,2,"Lives alone",0,0,"Hispanic/Latino/Spanish Origin",3,2,"Lives alone","Age,Race,Gender,Household Information,Employment Status,Education Level","3",2,7,0,1,"Hispanic/Latino/Spanish Origin",1,2,"Not married - has children",1,0,"White",3,0,"Married - has children","Education Level,Gender,Age,Household Information,Employment Status,Race","6",2,6,1,1,"White",1,2,"Married - no children",0,0,"Hispanic/Latino/Spanish Origin",0,2,"Not married - has children","Age,Employment Status,Education Level,Household Information,Gender,Race","8",1,7,3,0,"Black/African American",1,2,"Not married - has children",1,0,"Hispanic/Latino/Spanish Origin",2,2,"Married - has children","Gender,Employment Status,Education Level,Age,Household Information,Race","9",4,6,3,1,"Black/African American",2,2,"Married - no children",0,0,"Black/African American",3,0,"Not married - has children","Education Level,Race,Gender,Age,Household Information,Employment Status","38",1,"Democrat"
"36","1",2,1,3,1,"Hispanic/Latino/Spanish Origin",3,0,"Married - has children",1,0,"Black/African American",0,2,"Married - no children","Gender,Age,Employment Status,Race,Household Information,Education Level","4",1,1,0,0,"White",2,1,"Married - no children",2,1,"White",3,0,"Married - has children","Household Information,Gender,Employment Status,Age,Education Level,Race","6",1,1,3,0,"Black/African American",1,0,"Lives alone",3,0,"Hispanic/Latino/Spanish Origin",1,0,"Married - has children","Employment Status,Gender,Household Information,Race,Age,Education Level","8",1,1,0,1,"White",2,1,"Lives alone",1,1,"Black/African American",3,1,"Lives alone","Gender,Employment Status,Education Level,Household Information,Race,Age","1",99,99,2,0,"White",1,2,"Lives alone",2,1,"White",1,1,"Married - no children","Gender,Age,Education Level,Race,Household Information,Employment Status","51",1,"Republican"
"37","1",5,4,2,0,"Hispanic/Latino/Spanish Origin",3,2,"Not married - has children",0,1,"White",3,0,"Married - has children","Age,Race,Gender,Education Level,Household Information,Employment Status","4",5,3,0,0,"White",0,1,"Married - has children",0,1,"Black/African American",0,2,"Married - has children","Household Information,Employment Status,Education Level,Age,Race,Gender","6",5,3,1,0,"Black/African American",0,0,"Not married - has children",3,0,"White",3,1,"Married - has children","Employment Status,Household Information,Education Level,Race,Gender,Age","8",3,5,1,1,"White",2,2,"Not married - has children",3,0,"Hispanic/Latino/Spanish Origin",0,1,"Married - has children","Education Level,Race,Age,Employment Status,Household Information,Gender","1",2,3,1,1,"White",2,1,"Married - no children",3,0,"Black/African American",2,2,"Lives alone","Race,Education Level,Age,Gender,Household Information,Employment Status","26",1,"Independent"
"38","1",5,4,0,1,"Hispanic/Latino/Spanish Origin",3,1,"Not married - has children",2,0,"Black/African American",2,0,"Lives alone","Employment Status,Race,Household Information,Gender,Education Level,Age","3",6,1,3,0,"White",3,0,"Lives alone",3,0,"White",1,2,"Lives alone","Employment Status,Race,Age,Education Level,Household Information,Gender","5",4,1,1,0,"White",3,0,"Not married - has children",3,1,"White",3,2,"Lives alone","Household Information,Education Level,Gender,Age,Employment Status,Race","8",5,6,0,0,"Hispanic/Latino/Spanish Origin",3,0,"Married - has children",2,0,"Hispanic/Latino/Spanish Origin",0,0,"Married - has children","Education Level,Employment Status,Gender,Race,Household Information,Age","1",99,6,3,1,"Hispanic/Latino/Spanish Origin",3,2,"Lives alone",2,1,"Black/African American",1,1,"Lives alone","Household Information,Race,Gender,Education Level,Age,Employment Status","29",1,"Republican"
"39","2",2,6,2,0,"Black/African American",1,0,"Not married - has children",1,0,"White",0,1,"Married - no children","Employment Status,Household Information,Age,Gender,Education Level,Race","4",2,2,0,0,"White",2,2,"Not married - has children",1,0,"Black/African American",1,2,"Not married - has children","Age,Race,Gender,Education Level,Household Information,Employment Status","5",2,2,0,1,"Hispanic/Latino/Spanish Origin",3,1,"Married - has children",1,0,"Hispanic/Latino/Spanish Origin",1,0,"Not married - has children","Gender,Education Level,Age,Race,Employment Status,Household Information","8",1,1,3,0,"Black/African American",3,0,"Not married - has children",3,0,"White",3,0,"Not married - has children","Education Level,Employment Status,Age,Gender,Household Information,Race","9",4,3,1,0,"White",3,0,"Married - no children",0,1,"Black/African American",1,2,"Not married - has children","Age,Household Information,Race,Employment Status,Education Level,Gender","38",0,"Republican"
"40","2",5,6,1,1,"Hispanic/Latino/Spanish Origin",3,2,"Not married - has children",1,0,"Black/African American",1,2,"Married - has children","Race,Age,Employment Status,Gender,Education Level,Household Information","4",3,5,1,0,"Hispanic/Latino/Spanish Origin",2,0,"Married - no children",3,1,"Hispanic/Latino/Spanish Origin",1,1,"Married - no children","Age,Gender,Household Information,Education Level,Race,Employment Status","5",5,3,1,0,"Black/African American",0,1,"Not married - has children",3,1,"Black/African American",0,0,"Lives alone","Education Level,Employment Status,Age,Race,Gender,Household Information","7",4,3,1,0,"Hispanic/Latino/Spanish Origin",2,0,"Married - no children",3,1,"White",0,0,"Married - no children","Household Information,Race,Gender,Age,Education Level,Employment Status","9",5,4,3,0,"White",3,1,"Not married - has children",2,0,"Black/African American",2,0,"Married - no children","Gender,Education Level,Employment Status,Race,Household Information,Age","27",1,"Independent"
"41","2",3,5,2,1,"Hispanic/Latino/Spanish Origin",1,2,"Not married - has children",0,0,"White",2,2,"Not married - has children","Age,Employment Status,Race,Household Information,Gender,Education Level","3",6,4,0,0,"White",0,1,"Not married - has children",1,0,"Black/African American",0,0,"Married - no children","Race,Gender,Household Information,Education Level,Age,Employment Status","6",6,6,0,0,"Black/African American",0,1,"Not married - has children",1,0,"White",2,1,"Married - has children","Education Level,Employment Status,Age,Household Information,Race,Gender","7",7,5,3,0,"White",0,1,"Lives alone",0,1,"Hispanic/Latino/Spanish Origin",0,1,"Not married - has children","Gender,Household Information,Employment Status,Race,Education Level,Age","1",4,6,0,1,"Hispanic/Latino/Spanish Origin",0,1,"Married - no children",1,1,"White",0,2,"Married - no children","Household Information,Employment Status,Race,Gender,Education Level,Age","43",0,"Republican"
"42","2",2,2,3,0,"Hispanic/Latino/Spanish Origin",0,0,"Not married - has children",0,1,"Black/African American",3,0,"Married - has children","Education Level,Employment Status,Age,Household Information,Gender,Race","3",2,2,1,0,"Hispanic/Latino/Spanish Origin",1,1,"Not married - has children",2,1,"Black/African American",1,2,"Married - has children","Household Information,Employment Status,Race,Education Level,Age,Gender","5",2,2,1,1,"White",2,2,"Not married - has children",0,1,"Black/African American",2,0,"Lives alone","Household Information,Race,Education Level,Age,Gender,Employment Status","8",2,2,3,1,"Hispanic/Latino/Spanish Origin",1,0,"Married - no children",3,0,"White",1,0,"Lives alone","Age,Gender,Education Level,Race,Employment Status,Household Information","1",2,2,0,0,"White",3,0,"Married - no children",3,0,"Hispanic/Latino/Spanish Origin",2,0,"Not married - has children","Education Level,Race,Employment Status,Gender,Age,Household Information","56",0,"Republican"
"43","2",4,3,2,0,"Hispanic/Latino/Spanish Origin",1,1,"Not married - has children",0,1,"Hispanic/Latino/Spanish Origin",1,0,"Married - has children","Education Level,Household Information,Employment Status,Race,Gender,Age","3",6,4,2,1,"Hispanic/Latino/Spanish Origin",2,0,"Married - has children",2,0,"Black/African American",2,1,"Married - has children","Employment Status,Age,Household Information,Race,Education Level,Gender","5",7,4,0,1,"White",1,1,"Not married - has children",0,0,"White",0,2,"Married - no children","Age,Education Level,Household Information,Race,Gender,Employment Status","8",3,4,1,0,"Hispanic/Latino/Spanish Origin",3,0,"Not married - has children",0,1,"Black/African American",2,2,"Not married - has children","Employment Status,Age,Race,Gender,Household Information,Education Level","1",99,3,0,1,"White",3,0,"Married - no children",1,1,"Hispanic/Latino/Spanish Origin",1,0,"Married - has children","Gender,Race,Employment Status,Age,Education Level,Household Information","35",1,"Republican"
"44","1",4,3,1,0,"Black/African American",1,0,"Married - has children",1,0,"Black/African American",2,2,"Married - no children","Household Information,Employment Status,Race,Gender,Education Level,Age","4",4,6,1,0,"White",2,0,"Not married - has children",3,1,"Hispanic/Latino/Spanish Origin",3,1,"Not married - has children","Education Level,Race,Age,Gender,Employment Status,Household Information","6",4,5,3,0,"White",2,2,"Lives alone",2,1,"Black/African American",1,1,"Lives alone","Age,Education Level,Race,Household Information,Gender,Employment Status","7",4,3,0,0,"Black/African American",0,0,"Married - has children",1,0,"Black/African American",3,1,"Lives alone","Age,Employment Status,Education Level,Race,Household Information,Gender","9",5,3,0,1,"Hispanic/Latino/Spanish Origin",2,1,"Married - no children",0,1,"Black/African American",1,2,"Lives alone","Age,Education Level,Employment Status,Gender,Race,Household Information","54",0,"Democrat"
"45","2",5,4,3,1,"Hispanic/Latino/Spanish Origin",2,2,"Not married - has children",1,1,"White",1,0,"Married - has children","Race,Employment Status,Education Level,Gender,Age,Household Information","4",1,7,1,1,"Hispanic/Latino/Spanish Origin",2,0,"Not married - has children",2,0,"White",1,1,"Married - has children","Gender,Age,Education Level,Household Information,Race,Employment Status","5",7,4,0,1,"Black/African American",3,1,"Married - no children",2,0,"White",0,2,"Married - has children","Age,Gender,Household Information,Education Level,Employment Status,Race","7",2,1,0,0,"Black/African American",3,2,"Married - no children",3,1,"Black/African American",1,0,"Married - has children","Gender,Age,Household Information,Employment Status,Race,Education Level","1",99,7,1,1,"Hispanic/Latino/Spanish Origin",0,0,"Married - has children",0,0,"Hispanic/Latino/Spanish Origin",0,1,"Married - no children","Education Level,Gender,Employment Status,Race,Household Information,Age","37",1,"Independent"
"46","1",6,2,2,0,"White",1,1,"Not married - has children",0,0,"Hispanic/Latino/Spanish Origin",2,0,"Lives alone","Age,Gender,Employment Status,Household Information,Education Level,Race","4",1,5,1,1,"White",0,2,"Lives alone",0,0,"Black/African American",2,1,"Lives alone","Household Information,Gender,Employment Status,Age,Education Level,Race","6",1,3,2,1,"White",3,2,"Married - has children",3,0,"White",1,0,"Married - has children","Gender,Education Level,Household Information,Employment Status,Age,Race","8",3,5,0,0,"White",0,2,"Lives alone",2,0,"Black/African American",1,0,"Married - no children","Household Information,Gender,Education Level,Age,Race,Employment Status","9",6,5,1,0,"Hispanic/Latino/Spanish Origin",2,2,"Married - has children",0,1,"Black/African American",3,1,"Lives alone","Gender,Employment Status,Household Information,Race,Education Level,Age","42",1,"Democrat"
"47","2",1,3,0,0,"White",2,0,"Married - has children",0,0,"Hispanic/Latino/Spanish Origin",0,2,"Married - has children","Household Information,Gender,Education Level,Employment Status,Race,Age","4",1,5,2,1,"Hispanic/Latino/Spanish Origin",0,2,"Married - has children",1,0,"Hispanic/Latino/Spanish Origin",2,1,"Married - has children","Gender,Education Level,Employment Status,Age,Household Information,Race","5",2,1,2,0,"Black/African American",0,2,"Lives alone",2,1,"Hispanic/Latino/Spanish Origin",3,0,"Lives alone","Race,Education Level,Employment Status,Age,Gender,Household Information","8",1,5,0,0,"Hispanic/Latino/Spanish Origin",1,0,"Lives alone",0,1,"Black/African American",3,1,"Lives alone","Age,Education Level,Household Information,Employment Status,Gender,Race","1",3,3,3,1,"Hispanic/Latino/Spanish Origin",3,1,"Married - no children",0,0,"Black/African American",1,1,"Married - no children","Employment Status,Gender,Age,Education Level,Household Information,Race","19",1,"Independent"
"48","1",5,4,3,1,"Hispanic/Latino/Spanish Origin",2,0,"Not married - has children",3,1,"White",1,2,"Lives alone","Age,Employment Status,Race,Education Level,Gender,Household Information","4",4,6,0,0,"Hispanic/Latino/Spanish Origin",0,0,"Lives alone",2,1,"Hispanic/Latino/Spanish Origin",1,1,"Lives alone","Education Level,Race,Household Information,Gender,Age,Employment Status","6",4,5,2,0,"Black/African American",3,1,"Married - no children",3,1,"Hispanic/Latino/Spanish Origin",0,1,"Lives alone","Age,Employment Status,Race,Gender,Household Information,Education Level","7",5,5,1,0,"Black/African American",0,2,"Married - has children",3,0,"Hispanic/Latino/Spanish Origin",0,2,"Not married - has children","Education Level,Gender,Race,Age,Household Information,Employment Status","9",5,4,2,0,"Black/African American",2,1,"Married - has children",3,1,"Hispanic/Latino/Spanish Origin",3,0,"Not married - has children","Gender,Race,Employment Status,Household Information,Age,Education Level","35",1,"Republican"
"49","2",2,4,1,0,"Hispanic/Latino/Spanish Origin",2,0,"Lives alone",1,0,"Black/African American",2,2,"Not married - has children","Age,Gender,Education Level,Employment Status,Household Information,Race","3",2,1,0,0,"Hispanic/Latino/Spanish Origin",2,2,"Not married - has children",1,1,"White",3,2,"Not married - has children","Employment Status,Race,Age,Education Level,Gender,Household Information","5",6,4,1,0,"Black/African American",2,1,"Not married - has children",1,1,"White",3,1,"Married - has children","Gender,Education Level,Employment Status,Household Information,Age,Race","7",6,2,0,0,"Black/African American",1,1,"Married - has children",3,1,"White",3,0,"Married - no children","Household Information,Age,Gender,Employment Status,Race,Education Level","1",4,2,3,1,"White",1,0,"Not married - has children",3,1,"White",2,1,"Lives alone","Education Level,Gender,Employment Status,Race,Age,Household Information","27",1,"Democrat"
"50","1",6,2,2,0,"Hispanic/Latino/Spanish Origin",1,1,"Lives alone",0,1,"Hispanic/Latino/Spanish Origin",2,0,"Lives alone","Race,Age,Gender,Education Level,Household Information,Employment Status","3",2,6,1,0,"Hispanic/Latino/Spanish Origin",1,1,"Married - has children",1,0,"Black/African American",1,0,"Married - has children","Household Information,Employment Status,Education Level,Gender,Race,Age","6",5,6,3,0,"Hispanic/Latino/Spanish Origin",1,1,"Married - no children",1,1,"White",2,1,"Not married - has children","Gender,Education Level,Employment Status,Race,Household Information,Age","7",4,1,2,1,"Hispanic/Latino/Spanish Origin",0,0,"Married - has children",3,0,"White",1,2,"Lives alone","Age,Education Level,Race,Gender,Household Information,Employment Status","1",3,5,0,0,"White",0,1,"Not married - has children",3,0,"White",0,1,"Married - has children","Race,Education Level,Household Information,Age,Employment Status,Gender","31",1,"Democrat"
"51","1",6,2,3,0,"Black/African American",3,0,"Married - has children",1,0,"Black/African American",1,2,"Lives alone","Race,Age,Education Level,Household Information,Gender,Employment Status","4",4,6,0,0,"Hispanic/Latino/Spanish Origin",1,0,"Lives alone",3,1,"Black/African American",1,1,"Married - has children","Household Information,Race,Gender,Employment Status,Age,Education Level","6",5,6,2,0,"Hispanic/Latino/Spanish Origin",1,2,"Lives alone",2,1,"Hispanic/Latino/Spanish Origin",2,1,"Lives alone","Age,Education Level,Gender,Employment Status,Race,Household Information","7",6,4,0,1,"White",3,2,"Married - has children",0,1,"Hispanic/Latino/Spanish Origin",0,1,"Married - no children","Age,Gender,Education Level,Employment Status,Household Information,Race","1",4,6,2,1,"Black/African American",1,2,"Not married - has children",1,1,"White",1,2,"Married - has children","Race,Household Information,Employment Status,Education Level,Age,Gender","34",0,"Democrat"
"52","2",2,4,0,0,"White",0,0,"Lives alone",0,0,"Black/African American",3,0,"Not married - has children","Race,Education Level,Age,Household Information,Employment Status,Gender","4",5,2,0,0,"Hispanic/Latino/Spanish Origin",2,2,"Lives alone",2,0,"Black/African American",2,2,"Married - no children","Race,Household Information,Age,Education Level,Employment Status,Gender","5",4,3,0,1,"Hispanic/Latino/Spanish Origin",1,2,"Married - no children",1,1,"Black/African American",1,0,"Lives alone","Education Level,Gender,Employment Status,Race,Household Information,Age","8",4,3,2,1,"Black/African American",3,2,"Lives alone",1,0,"White",1,1,"Lives alone","Race,Household Information,Employment Status,Age,Gender,Education Level","9",5,5,0,0,"Black/African American",2,1,"Not married - has children",0,0,"Hispanic/Latino/Spanish Origin",2,0,"Married - no children","Education Level,Gender,Employment Status,Race,Household Information,Age","25",0,"Republican"
